Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkEncyclopediaVolThreeMedicalDesc,progression,perk  book,,,Dr. Death Defy's Medical Dictionary \n----Learn all medical schematics,,,,,,,,,,,,逆命博士秘撰药典\n——掌握所有医用品的配方,,
perkEncyclopediaVolThreeMedicalLongDesc,progression,perk  book,,,Learn how create all medical supplies,,,,,,,,,,,,学习全部医疗用品的制作方法。,,
bookEncyclopediaVolThreeElectronics,items,perk  book,,,Electrical for Dummies,,,,,,,,,,,,电气工程傻瓜书,,
perkEncyclopediaVolThreeElectronicsDesc,progression,perk  book,,,Electrical for Dummies \n----Learn how to create electrical components,,,,,,,,,,,,电气工程傻瓜书\n——学习如何制作通电器件,,
perkEncyclopediaVolThreeElectronicsLongDesc,progression,perk  book,,,"Learn how to create electrical components, powered doors and bridges, power banks",,,,,,,,,,,,学习诸如电器、电驱桥梁和门、以及储电设施等设备的制作方法。,,
bookEncyclopediaVolThreeCars,items,perk  book,,,Hayes' Vehicle Repair Guide,,,,,,,,,,,,哈耶斯的载具维修指南,,
perkEncyclopediaVolThreeCarsDesc,progression,perk  book,,,Hayes' Vehicle Repair Guide \n----Learn all vehicle schematics,,,,,,,,,,,,哈耶斯的载具维修指南\n——掌握所有载具的蓝图,,
perkEncyclopediaVolThreeCarsLongDesc,progression,perk  book,,,Learn how to create all of the vehicles along with oil and gasoline,,,,,,,,,,,,学习全部燃料驱动载具的组装方法。,,
bookEncyclopediaVolThreeWeaponParts,items,perk  book,,,Weapon Smithing for Beginners,,,,,,,,,,,,武器锻造入门,,
perkEncyclopediaVolThreeWeaponPartsDesc,progression,perk  book,,,Weapon Smithing for Beginners \n----Learn all Weapon Parts schematics,,,,,,,,,,,,武器锻造入门\n——掌握所有武器部件的蓝图,,
perkEncyclopediaVolThreeWeaponPartsLongDesc,progression,perk  book,,,Learn how to create all of the basic weapon parts,,,,,,,,,,,,学习全部武器基础部件的制造方法。,,
bookEncyclopediaVolThreeComplete,items,perk  book,,,Completed Vol 3,,,,,,,,,,,,完美的第三编,,
perkEncyclopediaVolThreeCompleteDesc,progression,perk  book,,,Volume 3 Collection Complete,,,,,,,,,,,,大百科全书的第三编已经全部集齐了！,,
